,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
485,A1W0L9S3P095Z3,20,80.47,1,4.19,3,13.41,3,12.71,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,4.02,4.19,1.11,0.34,96,0,hidden_committed,72.0,0
486,AE9RG47XAQP9E,9,30.15,2,6.7,5,18.09,4,14.07,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,3.35,3.35,1.5,0.55,46,4,benevolent,20.0,0
487,A1HPVEBCGLH2X8,2,14.26,2,14.26,3,21.39,0,0.0,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,7.13,7.13,1.78,1.78,135,135,inept,8.0,1
488,AG24AT2ZYTX81,12,76.35,3,13.41,3,20.35,2,16.78,engaged_pmd,moderate,exclusively_CAT,predominantly_movie_est,6.36,4.47,1.69,1.11,117,93,inept,45.0,1
489,ASUUHZIP0IVTD,13,62.89,7,31.02,3,15.72,1,7.96,non_promo_user,moderate,predominantly_CAT,predominantly_movie_vod,4.83,4.43,1.31,2.58,120,40,inept,48.0,1
490,A3CZ115VLINWUC,2,6.7,1,3.35,1,5.74,0,2.87,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,3.35,0.47,0.27,254,0,inept,14.0,1
491,AFOZW6FNF3INE,1,3.35,0,0.0,0,1.21,0,1.21,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,3.35,0.0,0.1,0.0,0,0,inept,33.0,0
492,A32F8IMSMT7ZEN,85,367.15,23,129.63,25,110.14,18,71.25,engaged_pmd,engaged,predominantly_CAT,predominantly_movie_vod,4.31,5.63,9.17,10.8,14,15,benevolent,40.0,1
493,A1S7WZ1PK51RR2,20,77.72,2,5.81,7,28.26,6,26.14,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,3.88,2.9,2.35,0.48,41,61,hidden_committed,33.0,0
494,A33509CAP3UXTN,5,25.16,3,19.3,1,6.03,0,1.4,non_promo_user,moderate,exclusively_CAT,predominantly_movie_vod,5.03,6.43,0.5,1.6,349,101,inept,50.0,1
495,A1RFJU0MJ4XWDZ,21,142.64,10,36.03,5,35.65,2,26.65,engaged_pmd,moderate,predominantly_NR,predominantly_movie_vod,6.79,3.6,2.97,3.0,65,25,inept,48.0,1
496,A14H7JNY69HUP8,13,42.72,4,12.56,3,11.65,2,8.22,non_promo_user,moderate,predominantly_NR,exclusively_movie_vod,3.28,3.14,0.97,1.04,95,49,inept,44.0,0
497,A1BZ6V3USW5U8K,241,2488.46,14,129.28,47,489.53,44,464.1,engaged_vendisto_promo,engaged,predominantly_NR,predominantly_movie_est,10.32,9.23,40.79,10.77,7,18,hidden_committed,61.0,1
498,A24CMIYEH1Q5LY,54,230.46,8,51.17,14,62.85,12,48.89,engaged_vendisto_promo,moderate,predominantly_NR,predominantly_movie_est,4.26,6.39,5.23,4.26,24,17,hidden_committed,44.0,1
499,A17XAXBIEKF67,47,342.36,17,87.19,12,93.37,8,69.59,engaged_pmd,engaged,predominantly_CAT,predominantly_tv,7.28,5.12,7.78,7.26,28,20,benevolent,44.0,1
500,A2ZUVRLZIQI0BT,4,15.92,3,11.73,2,9.09,0,2.39,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,3.98,3.91,0.75,0.97,178,71,inept,21.0,1
501,A120ELONJBWXV0,76,353.99,43,198.08,19,90.38,8,39.8,engaged_pmd,engaged,predominantly_NR,predominantly_movie_vod,4.65,4.6,7.53,16.5,18,8,benevolent,47.0,1
502,A3VFZT6MGMJ66A,3,12.57,0,0.0,0,3.35,0,3.35,non_promo_user,moderate,predominantly_NR,exclusively_movie_vod,4.19,0.0,0.27,0.0,406,0,inept,45.0,0
503,A3EDVQ7HZWBFYN,4,15.92,1,4.19,2,9.55,1,7.03,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,3.98,4.19,0.79,0.34,128,0,inept,20.0,0
504,AKR0Z0QRPOZRJ,32,166.01,32,166.01,34,181.1,0,0.0,non_promo_user,engaged,predominantly_CAT,predominantly_movie_est,5.18,5.18,15.09,15.09,10,10,inept,11.0,1
