,encrypted_customerID,total_units,total_revenue,total_units_ttm,total_revenue_ttm,adj_units_yearly_ever,adj_revenue_yearlu_ever,adj_units_yearly_before_ttm,adj_revenue_yearly_before_ttm,which_promo,engagement,what_content_age,what_content_type,asp_ever,asp_ttm,arpu_monthly_ever,arpu_monthly_ttm,frequency_days_ever,frequency_days_ttm,hidden_class,tenure_months,target
890,A31NOW0LJGBJD1,1,2.07,1,2.07,1,3.1,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_tv,2.07,2.07,0.25,0.25,0,0,inept,8.0,0
891,A3TNEWLMSRE0DN,6,32.86,3,26.64,1,6.36,0,1.2,non_promo_user,moderate,exclusively_CAT,exclusively_movie_est,5.47,8.88,0.53,2.22,327,16,inept,62.0,0
892,A3PG5VBY1XTVYM,3,7.9,0,0.0,0,1.48,0,1.48,non_promo_user,moderate,predominantly_NR,exclusively_movie_vod,2.63,0.0,0.12,0.0,29,0,inept,64.0,0
893,A8KOKO86BYBEH,5,10.8,0,0.0,1,3.6,1,3.6,engaged_vendisto_promo,moderate,exclusively_CAT,exclusively_movie_vod,2.16,0.0,0.3,0.0,54,0,hidden_committed,36.0,0
894,A1MVO98A2GOLTD,4,19.54,2,14.14,2,11.72,1,3.24,engaged_vendisto_promo,moderate,exclusively_CAT,predominantly_movie_est,4.88,7.07,0.97,1.17,167,165,inept,20.0,1
895,A9JU49YGKLPI,5,19.95,2,11.64,2,8.25,1,3.43,non_promo_user,moderate,exclusively_CAT,exclusively_movie_est,3.99,5.82,0.68,0.97,189,190,inept,29.0,1
896,A2LZC1C38SOB4O,19,81.61,12,67.4,3,13.98,1,2.43,engaged_vendisto_promo,engaged,predominantly_CAT,predominantly_movie_est,4.29,5.61,1.16,5.61,117,32,inept,70.0,1
897,AIC9YWT05QHT0,2,12.9,2,12.9,6,38.7,0,0.0,engaged_pmd,moderate,predominantly_NR,predominantly_movie_est,6.45,6.45,3.22,3.22,97,97,inept,4.0,1
898,AGW31PO3GY9AE,10,60.74,10,60.74,13,80.98,0,0.0,engaged_vendisto_promo,engaged,predominantly_NR,predominantly_movie_est,6.07,6.07,6.74,6.74,14,14,inept,9.0,1
899,A2SMP3GC0KPDI3,5,25.79,1,4.99,2,11.9,1,9.6,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,5.15,4.99,0.99,0.41,112,0,inept,26.0,0
900,A3P1C651DHSQPO,2,7.87,0,0.0,0,1.96,0,1.96,non_promo_user,moderate,exclusively_CAT,predominantly_movie_est,3.93,0.0,0.16,0.0,8,0,inept,48.0,0
901,AX92JIPZ6NA3R,2,5.82,0,0.0,0,1.79,0,1.79,non_promo_user,moderate,exclusively_CAT,exclusively_movie_vod,2.91,0.0,0.14,0.0,0,0,inept,39.0,0
902,A3V5P7YIXPD0I3,4,52.46,1,15.82,1,17.01,0,11.88,non_promo_user,one_time,exclusively_CAT,exclusively_tv,13.11,15.82,1.41,1.31,346,0,inept,37.0,1
903,A3JNV6AYS1ZC33,1,2.91,0,0.0,0,0.47,0,0.47,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,2.91,0.0,0.03,0.0,0,0,inept,73.0,0
904,A2VH1JJUYLB5LN,12,32.82,12,32.82,18,49.23,0,0.0,engaged_pmd,engaged,predominantly_CAT,exclusively_movie_vod,2.73,2.73,4.1,4.1,21,21,inept,8.0,1
905,A7EEB0DT7RNNC,118,343.98,1,2.07,34,100.67,34,100.07,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.91,2.07,8.38,0.17,9,0,hidden_committed,41.0,1
906,A3J965BCX0S2VO,2,16.64,2,16.64,2,19.96,0,0.0,engaged_vendisto_promo,moderate,exclusively_CAT,predominantly_movie_est,8.32,8.32,1.66,1.66,183,183,inept,10.0,1
907,AZPG0O6QL4DBJ,10,41.18,5,16.63,1,8.23,0,4.9,non_promo_user,moderate,predominantly_NR,exclusively_movie_vod,4.11,3.32,0.68,1.38,197,65,inept,60.0,1
908,AO1C8LRKGOSTF,11,34.08,0,0.0,4,14.6,4,14.6,non_promo_user,engaged,exclusively_CAT,predominantly_movie_est,3.09,0.0,1.21,0.0,43,0,benevolent,28.0,0
909,A3RPZUSRHUGF2I,2,5.81,1,2.07,1,3.16,0,2.04,non_promo_user,one_time,predominantly_NR,exclusively_movie_vod,2.9,2.07,0.26,0.17,617,0,inept,22.0,1
910,A35ET9OQ2Q6PK7,21,133.76,13,82.68,5,33.43,1,12.76,non_promo_user,engaged,predominantly_CAT,predominantly_movie_est,6.36,6.36,2.78,6.89,71,28,inept,48.0,1
911,A3C3N173Q3IY0S,10,59.91,8,45.76,5,31.25,1,7.38,engaged_vendisto_promo,moderate,exclusively_CAT,predominantly_movie_vod,5.99,5.72,2.6,3.81,75,48,inept,23.0,1
912,A1F88AKDVI9ZXR,1,2.91,0,0.0,0,1.24,0,1.24,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.91,0.0,0.1,0.0,0,0,inept,28.0,0
913,A1XUKWL7PP5VCG,1,2.08,0,0.0,0,0.63,0,0.63,non_promo_user,one_time,exclusively_CAT,exclusively_tv,2.08,0.0,0.05,0.0,0,0,inept,39.0,0
914,A1FD4HIU7PNWJ0,32,190.06,4,35.79,6,36.78,5,29.85,engaged_vendisto_promo,moderate,exclusively_CAT,predominantly_movie_est,5.93,8.94,3.06,2.98,58,93,hidden_committed,62.0,1
915,A3BQ7ZDEJPK7TI,1,4.99,0,0.0,0,2.85,0,2.85,non_promo_user,one_time,exclusively_CAT,exclusively_movie_est,4.99,0.0,0.23,0.0,0,0,inept,21.0,0
916,AEYNFBKBYM8Y5,1,4.99,0,0.0,0,1.46,0,1.46,non_promo_user,one_time,exclusively_CAT,exclusively_tv,4.99,0.0,0.12,0.0,0,0,inept,41.0,0
917,A2AHC4OFDORZCM,4,16.21,4,16.21,4,17.68,0,0.0,engaged_vendisto_promo,moderate,exclusively_CAT,predominantly_tv,4.05,4.05,1.47,1.47,51,51,inept,11.0,0
918,A3SFQ7QDL8VUBB,10,26.56,8,19.52,2,6.12,0,1.62,engaged_pmd,moderate,exclusively_CAT,predominantly_movie_vod,2.65,2.44,0.51,1.62,171,14,inept,52.0,1
919,AUA0YCUDDZ7SX,6,14.78,6,14.78,72,177.36,0,0.0,non_promo_user,moderate,exclusively_CAT,predominantly_movie_vod,2.46,2.46,14.78,14.78,0,0,inept,1.0,1
920,AU5HS0U8A0FVF,2,15.4,0,0.0,0,5.77,0,5.77,non_promo_user,moderate,predominantly_NR,predominantly_movie_est,7.7,0.0,0.48,0.0,0,0,inept,32.0,0
921,AE0J9U6VMXYB6,1,2.07,1,2.07,3,8.28,0,0.0,non_promo_user,one_time,exclusively_CAT,exclusively_movie_vod,2.07,2.07,0.69,0.69,0,0,inept,3.0,1
